ID,SUBCOUNTY,key,School,Is_the_Support_for_Primary_School_or_AEP_centre_hosted_by_the_school?,Number of Students,s_lat,s_lon,Number of Teachers,Number of Learners,Number of Classrooms,Number of Latrines,Number of additional classrooms constructed,Number of additional gender-sensitive WASH facilities,Number of AEP Centres established,Number of learners provided with scholastic materials,Number of children with disabilities supported with assistive devices,Number of schools with improved accesibility for chuldren with disabilities,Number of teachers provided with training prigrammes on accommodating children with disabilities in schools,Number of girls supported with menstrual hygience management,Number of school-aged boys and girls continuously accessing quality and protective learning opportunities relevant to the emergency,"Percentage of beneficiaries reporting that humanitarian assistance is delivered in a safe, accessible, accountable and participatory manner","Number of boys and girls that access safe, quality learning opportunities (non-formal education)",Percentage of 'age-appropriate' learners that transition into the formal primary school system,Percentage of teachers who demonstrate improvement against relevant competencies within the national teacher competency framework,Percentage of learners that sit for PLE pass the examination,Percentage of AEP centres that have functional referral pathway mechanisms established,Year,Term,Current Number of Students,Partner Organisation,Average Attendence
43,AKWON,AKWON,Juru Primary School,Primary School,3142,-0.84277,30.78977,363,17979,29,22,7,81,11,8170,1921,14,69,14193,7017,1,19086,46,8,76,7,2019,3,9691,Windle International Uganda,5674
44,AKWORO,AKWORO,Kabazana Nursery and Primary School,AEP centre,4769,0.328273,30.65777,27,6947,18,9,11,141,6,10914,5467,8,1443,2865,19812,94,8828,58,84,71,41,2019,3,4408,Finn Church Aid,3163
45,ALANGO,ALANGO,Kaborogota Primary School,Primary School,1387,0.384407,31.09567,806,1637,27,11,38,120,11,7989,2788,15,750,11705,15862,62,16634,44,29,77,19,2019,3,4765,Finn Church Aid,4694
46,ALEBTONG TOWN COUNCIL,ALEBTONG TOWN COUNCIL,Juru Primary School,Primary School,3142,-0.84277,30.78977,47,1982,40,21,54,102,6,10165,2896,8,456,10147,2848,97,7469,56,97,58,31,2019,1,6130,War Child Canada,6048
47,ALEKA,ALEKA,Kabazana Nursery and Primary School,AEP centre,4769,0.328273,30.65777,305,11012,4,11,62,114,14,10354,5504,5,329,4804,17258,62,2841,60,14,23,91,2019,1,7181,War Child Canada,3871
48,ALEREK,ALEREK,Kaborogota Primary School,Primary School,1387,0.384407,31.09567,199,15986,6,28,56,443,16,3469,5675,15,1315,14636,14924,47,7211,80,98,96,97,2019,1,8298,Windle International Uganda,730
49,ALERO,ALERO,Kali Central Primary School,AEP centre,7975,3.184237,31.1785,125,4651,24,19,11,47,9,3022,3126,3,349,18657,2872,97,8368,30,65,26,1,2019,2,690,Save the Children International,393
50,ALIBA,ALIBA,Kasonga Primary School,Primary School,2431,1.177166,30.75062,1300,4843,35,14,25,22,16,8914,269,11,834,10679,6283,46,8734,97,84,25,73,2019,2,4659,Windle International Uganda,1893
51,ALITO,ALITO,Katiku Primary School,Primary School,7912,3.102667,31.29945,1051,13094,31,25,29,152,3,6369,1180,14,286,77,18342,6,11211,83,23,70,65,2019,2,1154,ZOA + Palm Corps,681
52,ALOI,ALOI,Kali Central Primary School,AEP centre,7975,3.184237,31.1785,1305,8589,49,21,32,347,14,7858,2974,1,927,5181,15811,87,18269,59,39,51,63,2019,3,3550,War Child Canada,86
53,ALWA,ALWA,Kasonga Primary School,Primary School,2431,1.177166,30.75062,1060,12476,36,16,66,235,13,5853,4403,5,153,9018,4774,87,12760,0,74,81,39,2019,3,2475,Catholic Relief Services,592
54,ALWI,ALWI,Katiku Primary School,Primary School,7912,3.102667,31.29945,64,9928,18,16,53,109,20,6688,1672,13,856,12626,19718,50,17177,99,30,64,46,2019,3,2586,Windle International Uganda,1805
55,AMACH,AMACH,Kali Central Primary School,AEP centre,7975,3.184237,31.1785,633,14282,43,3,33,428,7,6896,1754,12,323,8918,12431,9,16631,3,43,85,86,2019,1,8670,Windle International Uganda,34
56,AMOLATAR TOWN COUNCIL,AMOLATAR TOWN COUNCIL,Kasonga Primary School,Primary School,2431,1.177166,30.75062,416,627,39,4,29,206,9,7491,5060,11,483,19365,12437,51,9560,67,94,38,35,2019,1,9075,Plan International Uganda,575
57,AMUDAT TOWN COUNCIL,AMUDAT TOWN COUNCIL,Katiku Primary School,Primary School,7912,3.102667,31.29945,1452,2317,31,5,18,305,9,5363,1649,7,522,780,10637,78,10214,43,82,53,89,2019,1,9414,Finn Church Aid,6787
58,AMUDAT,AMUDAT,Knowledge Land Primary School,Primary School,4261,3.288907,31.31067,1244,11074,11,1,18,439,17,5448,1656,9,408,17355,16848,63,10823,96,48,95,40,2019,2,9079,Finn Church Aid,4217
59,AMUGU,AMUGU,Komgbe Primary School,Primary School,5491,3.393153,31.40078,519,3002,27,9,47,383,2,10424,2867,5,1295,7683,11653,63,16324,17,41,67,30,2019,2,7802,Finn Church Aid,5472
60,AMUKOL,AMUKOL,Komoyo Primary School,AEP centre,788,3.475668,31.62492,328,12157,9,15,6,135,15,5789,3734,14,900,15090,15865,30,6446,69,99,54,69,2019,2,8400,Finn Church Aid,4573
61,AMURIA TOWN COUNCIL,AMURIA TOWN COUNCIL,Knowledge Land Primary School,Primary School,4261,3.288907,31.31067,286,19293,12,4,11,274,16,1486,4960,15,780,5780,8928,38,14232,60,91,94,18,2019,3,2004,Catholic Relief Services,1724
62,AMURU TOWN COUNCIL,AMURU TOWN COUNCIL,Komgbe Primary School,Primary School,5491,3.393153,31.40078,1140,14187,26,29,23,473,3,8889,2466,8,1266,21568,9205,18,1426,43,38,66,1,2019,3,39,Save the Children International,31
63,AMURU,AMURU,Komoyo Primary School,AEP centre,788,3.475668,31.62492,119,17618,10,25,6,107,2,4863,5781,1,1097,4955,3837,67,16427,35,32,38,11,2019,3,8045,ZOA + Palm Corps,1191
64,AMWOMA,AMWOMA,Knowledge Land Primary School,Primary School,4261,3.288907,31.31067,796,11660,9,16,65,312,16,1248,1959,4,1005,2526,14224,29,10288,20,12,18,30,2019,1,5590,APPCO,3515
65,ANAKA PAYIRA,ANAKA PAYIRA,Komgbe Primary School,Primary School,5491,3.393153,31.40078,1490,19074,12,28,48,408,4,2563,2211,2,922,13144,210,9,19509,58,96,59,57,2019,1,4724,Catholic Relief Services,1498
66,ANAKA TOWN COUNCIL,ANAKA TOWN COUNCIL,Komoyo Primary School,AEP centre,788,3.475668,31.62492,1077,8648,10,17,54,440,3,4532,4062,12,381,11962,3645,22,9208,52,81,83,69,2019,1,1325,ZOA + Palm Corps,1034
67,ANGAGURA,ANGAGURA,Lugwar Primary School,Primary School,1728,3.436056,32.58093,1178,4785,33,29,2,53,16,8742,1116,11,1075,17937,16700,34,19524,69,83,74,36,2019,2,3409,AVSI + Luigi Institute of Higher Education,2595
68,ANYARA,ANYARA,Luru Primary School,AEP centre,4009,3.187513,31.19721,1239,4036,20,17,65,372,7,9826,5814,11,74,16916,3082,16,5406,63,23,27,42,2019,2,4866,War Child Canada,4730
69,ANYIRIBU,ANYIRIBU,Luzira Bright View Primary School,AEP centre,1591,3.394623,31.34663,1254,2747,16,29,5,122,9,1324,2936,6,916,7301,5049,93,8969,83,18,86,99,2019,2,5474,Finn Church Aid,4775
70,APAC TOWN COUNCIL,APAC TOWN COUNCIL,Lugwar Primary School,Primary School,1728,3.436056,32.58093,228,15112,15,2,46,204,17,2814,1278,3,1064,5726,9177,99,9684,21,21,33,61,2019,3,9354,Finn Church Aid,2768
71,APAC,APAC,Luru Primary School,AEP centre,4009,3.187513,31.19721,443,244,38,1,69,347,17,7188,2266,3,698,20227,13021,22,10452,67,27,35,12,2019,3,2486,Norwegian Refugee Council,2156
72,APALA,APALA,Luzira Bright View Primary School,AEP centre,1591,3.394623,31.34663,1029,3917,7,25,60,96,4,9726,662,2,592,16534,18029,75,8173,86,46,74,71,2019,3,7922,War Child Canada,2245
73,APAPAI,APAPAI,Lugwar Primary School,Primary School,1728,3.436056,32.58093,1006,1958,1,17,4,411,4,10481,4198,9,1143,2874,15667,74,12854,35,46,20,16,2019,1,5115,Save the Children International,3410
74,APEDURU,APEDURU,Luru Primary School,AEP centre,4009,3.187513,31.19721,874,7844,47,7,26,468,1,4691,350,8,731,15531,17230,93,1711,69,64,59,30,2019,1,9573,Save the Children International,3355
75,APERKIRA,APERKIRA,Luzira Bright View Primary School,AEP centre,1591,3.394623,31.34663,1073,8820,37,11,43,349,4,8137,443,1,545,14204,8206,53,9809,40,83,75,2,2019,1,6467,Windle International Uganda,677
76,APOPONG,APOPONG,Maratatu Primary School,Primary School,4397,1.170087,30.77863,976,2018,37,24,27,370,5,2929,4815,8,278,15041,746,51,13255,17,56,74,88,2019,2,4655,Windle International Uganda,3584
77,APO,APO,Mengo Primary School,Primary School,5084,3.388912,31.33012,120,12140,33,1,36,95,19,8104,3001,11,149,17566,12388,24,7558,52,75,22,59,2019,2,4073,Finn Church Aid,768
78,APUTI,APUTI,Moroni Primary School,AEP centre,2727,3.409092,31.58463,982,13094,42,23,66,426,6,1551,3982,1,11,12318,3647,75,2786,7,25,22,82,2019,2,7480,War Child Canada,7144
79,ARAPAI,ARAPAI,Maratatu Primary School,Primary School,4397,1.170087,30.77863,278,8732,13,26,9,485,4,3664,1095,9,188,10355,8894,39,5919,9,69,79,94,2019,3,2620,Windle International Uganda,2143
80,ARINYAPI,ARINYAPI,Mengo Primary School,Primary School,5084,3.388912,31.33012,1346,12158,31,27,65,216,11,8275,3603,9,750,2251,6507,80,16076,59,97,94,28,2019,3,89,Finn Church Aid,30
81,ARIVU,ARIVU,Moroni Primary School,AEP centre,2727,3.409092,31.58463,657,16155,47,3,7,133,11,4225,3892,10,1029,2647,4202,11,11627,51,29,32,82,2019,3,267,Finn Church Aid,144
82,ARIWA,ARIWA,Maratatu Primary School,Primary School,4397,1.170087,30.77863,516,2992,50,3,35,46,10,10461,2057,15,353,1573,12850,81,8865,75,15,66,62,2019,1,8314,Windle International Uganda,7154
83,AROI,AROI,Mengo Primary School,Primary School,5084,3.388912,31.33012,787,19857,38,18,49,214,1,3010,1368,7,1288,18100,5392,17,19480,76,9,12,6,2019,1,2149,War Child Canada,600
84,AROMO,AROMO,Moroni Primary School,AEP centre,2727,3.409092,31.58463,654,11142,5,10,27,417,5,4282,5646,9,423,14854,2689,8,2012,68,4,10,68,2019,1,7738,Norwegian Refugee Council,1009
85,ARUA HILL DIVISION,ARUA HILL DIVISION,Ofonze Primary School,Primary School,2957,3.453608,31.36683,1436,14615,27,19,41,55,15,4651,2867,12,64,8248,11648,65,9319,94,21,45,49,2019,2,8178,APPCO,6127
86,ARUM,ARUM,Ogili Hill Primary School,Primary School,2295,3.367746,32.44124,1435,948,6,7,17,340,18,7450,4302,9,1342,18557,6813,14,4335,95,14,33,82,2019,2,6032,APPCO,1222
87,ARWOTCEK,ARWOTCEK,Okubani Primary School,Primary School,3025,3.263688,31.25081,1425,7326,23,3,1,323,4,9798,5613,8,500,10193,7555,64,8411,9,34,85,54,2019,2,4475,APPCO,565
88,ASAMUK,ASAMUK,Ofonze Primary School,Primary School,2957,3.453608,31.36683,885,4299,46,14,44,323,5,4886,4573,14,413,14929,16762,47,1754,45,45,26,72,2019,3,834,Street Child + African Women and Youth Action Development (AWYAD),733
89,ASURET,ASURET,Ogili Hill Primary School,Primary School,2295,3.367746,32.44124,355,14569,41,14,70,197,19,9598,3976,14,905,5066,5537,14,8646,78,59,26,52,2019,3,6883,APPCO,2177
90,ATANGA,ATANGA,Okubani Primary School,Primary School,3025,3.263688,31.25081,1384,12950,49,30,64,199,1,4326,3300,6,1353,12344,846,50,14201,31,39,31,5,2019,3,2978,Save the Children International,519
91,ATEGO,ATEGO,Ofonze Primary School,Primary School,2957,3.453608,31.36683,898,2548,12,12,12,418,10,7152,5360,4,1442,13134,8584,97,3780,78,5,50,54,2019,1,7478,War Child Canada,125
92,ATIIRA,ATIIRA,Ogili Hill Primary School,Primary School,2295,3.367746,32.44124,409,3461,27,22,68,379,13,5889,4483,12,355,13194,4232,38,151,77,3,14,73,2019,1,9614,Finn Church Aid,8088
93,ATTIAK,ATTIAK,Okubani Primary School,Primary School,3025,3.263688,31.25081,94,11155,28,18,19,132,8,3114,2072,15,1326,20661,13443,82,7006,17,46,74,12,2019,1,9497,Finn Church Aid,984
94,ATUTUR,ATUTUR,Pasu Primary School,AEP centre,3585,3.149483,31.24836,415,893,37,7,70,74,20,7417,829,6,571,19593,10307,100,19770,74,95,66,13,2019,2,1327,Save the Children International,626
95,ATYAK,ATYAK,Progressive Primary School,Primary School,4827,3.109412,32.5306,491,19860,30,24,19,137,18,5731,1854,7,1391,7543,13180,18,11932,98,7,85,99,2019,2,9015,AVSI + Luigi Institute of Higher Education,1577
96,AWACH,AWACH,Rock City Primary School,Primary School,3656,3.392468,31.33868,16,2755,1,1,63,472,8,6031,139,8,635,11663,3476,86,15087,91,6,18,99,2019,2,8115,Finn Church Aid,4260
97,AWEI,AWEI,Pasu Primary School,AEP centre,3585,3.149483,31.24836,1195,3996,18,5,1,83,3,2969,204,4,353,17277,6921,14,16704,24,30,99,76,2019,3,7337,Save the Children International,5916
98,AWELO,AWELO,Progressive Primary School,Primary School,4827,3.109412,32.5306,1412,16159,10,16,23,182,15,5118,591,8,1331,3507,15772,55,11767,67,82,18,37,2019,3,9826,Save the Children International,8937
99,AWERE,AWERE,Rock City Primary School,Primary School,3656,3.392468,31.33868,938,238,6,5,11,142,19,3370,4964,7,413,19339,17143,33,8026,92,34,55,17,2019,3,1586,Windle International Uganda,1298
100,AYER,AYER,Pasu Primary School,AEP centre,3585,3.149483,31.24836,84,5017,46,30,29,349,1,2712,3554,7,1133,20425,1213,24,6775,57,75,99,88,2019,1,3362,Finn Church Aid,2904
101,AYIVUNI,AYIVUNI,Progressive Primary School,Primary School,4827,3.109412,32.5306,321,14621,25,2,57,50,12,9489,1290,11,160,15057,13232,17,10122,42,54,2,50,2019,1,4030,Plan International Uganda,1503
102,BAGEZZA,BAGEZZA,Rock City Primary School,Primary School,3656,3.392468,31.33868,466,2631,23,29,27,99,2,7125,1163,3,642,12323,10469,99,12749,90,2,17,30,2019,1,5966,Finn Church Aid,807
103,BAITAMBOGWE,BAITAMBOGWE,St. Mary's Ocia Primary School,AEP centre,7793,3.38742,31.56715,470,1889,5,16,39,303,12,5136,3534,10,934,16579,7367,44,1288,27,52,97,54,2019,2,1407,Finn Church Aid,208
104,BALA,BALA,Tandala AEP Centre Pagirinya,AEP centre,9174,3.377168,31.93042,939,17237,10,13,10,206,19,6446,5677,11,593,9078,11065,22,6670,30,66,72,21,2019,2,2286,War Child Canada,1539
105,BALAWOLI,BALAWOLI,Tika Primary School,Primary School,10099,3.103227,31.39923,802,7456,48,6,16,25,14,7929,315,10,234,13536,12927,24,14379,41,65,31,90,2019,2,4978,ZOA + Palm Corps,4457
106,BAMUNANIKA,BAMUNANIKA,St. Mary's Ocia Primary School,AEP centre,7793,3.38742,31.56715,371,9804,35,27,61,38,3,4156,4529,6,1148,2511,13449,78,5723,80,95,7,82,2019,3,2758,APPCO,1926
107,BANANYWA,BANANYWA,Tandala AEP Centre Pagirinya,AEP centre,9174,3.377168,31.93042,955,17071,24,11,61,399,10,691,1819,2,614,11067,11150,24,9917,81,81,93,87,2019,3,1297,Norwegian Refugee Council,768
108,BANDA,BANDA,Tika Primary School,Primary School,10099,3.103227,31.39923,979,18139,12,24,6,142,3,3305,1188,14,1213,8143,7007,35,19946,88,66,14,16,2019,3,5916,Save the Children International,3930
109,BAR DEGE DIVISION,BAR DEGE DIVISION,St. Mary's Ocia Primary School,AEP centre,7793,3.38742,31.56715,1409,7587,36,17,5,123,4,2341,629,8,549,15016,16975,15,3297,83,98,81,18,2019,1,8557,Norwegian Refugee Council,8186
110,BARR,BARR,Tandala AEP Centre Pagirinya,AEP centre,9174,3.377168,31.93042,440,5761,27,22,49,198,2,6338,3539,15,363,10194,7275,33,6872,24,15,57,30,2019,1,7527,ZOA + Palm Corps,7020
111,BATTA,BATTA,Tika Primary School,Primary School,10099,3.103227,31.39923,353,15726,19,3,63,459,11,7494,614,1,328,7684,9763,2,14481,10,94,12,98,2019,1,5907,ZOA + Palm Corps,775
112,BBAALE,BBAALE,Wanyange Primary School,AEP centre,3794,3.38742,31.56715,1183,15850,46,1,18,15,1,2090,4597,7,944,9152,5397,28,793,9,24,68,20,2019,2,9948,Norwegian Refugee Council,2846
113,BBANDA,BBANDA,World View Nursery and Primary School,Primary School,3143,3.367746,32.44124,633,10438,39,24,3,379,9,568,129,15,1423,7439,16238,61,16375,94,11,43,95,2019,2,6582,AVSI + Luigi Institute of Higher Education,1821
114,BENET,BENET,Yacha Community Primary School,Primary School,1926,3.249317,31.19443,570,9732,32,11,45,125,9,3878,1386,5,179,15346,9665,11,2793,85,36,37,77,2019,2,4866,ZOA + Palm Corps,4571
115,BIGASA,BIGASA,Wanyange Primary School,AEP centre,3794,3.38742,31.56715,1375,19513,3,2,31,192,13,4778,3018,15,1127,2639,7302,76,15606,27,71,71,94,2019,3,3555,APPCO,163
116,BIGULI,BIGULI,World View Nursery and Primary School,Primary School,3143,3.367746,32.44124,815,15275,8,28,30,156,7,804,3002,15,167,14613,9938,46,8398,35,15,14,28,2019,3,5630,ZOA + Palm Corps,4448
117,BIHANGA,BIHANGA,Yacha Community Primary School,Primary School,1926,3.249317,31.19443,1441,12823,23,28,67,105,11,4183,5437,13,203,19273,11843,15,5242,17,75,34,62,2019,3,4434,Finn Church Aid,3525
118,BIHANGA,BIHANGA,Wanyange Primary School,AEP centre,3794,3.38742,31.56715,686,8816,14,15,31,183,16,6591,2546,4,418,14406,1169,82,14872,42,75,62,78,2019,1,6998,Finn Church Aid,5484
